,county,land_area,biome,tc_goal,treecanopy,tc_gap,priority_i,pctpocnorm,pctpovnorm,unemplnorm,dep_perc,depratnorm,health_nor,temp_norm,tes,tesctyscor,rank,rankgrpsz,Mean_Temp,Median_Temp,STD_Temp,Min_Temp,Max_Temp,Mean_Rain,Median_Rain,STD_Rain,Min_Rain,Max_Rain
624,Bexar County,4.7722,Grassland,0.3,0.5409,0.0,0.267088612005762,0.528612531969309,0.06942636466198,0.033258337951001,0.440377237851662,0.39345901171094,0.20993000016312,0.064891846921797,100,0.0,1,37,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
625,Bexar County,8.3699,Grassland,0.3,0.5256,0.0,0.259728415261162,0.560619469026549,0.059237277657075,0.046153219376204,0.373008849557522,0.297459421312632,0.20993000016312,0.068932731162348,100,79.0,1,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
626,Bexar County,4.3972,Grassland,0.3,0.3936,0.0,0.304423743744176,0.681418154387729,0.135935320708846,0.073413690310874,0.347749559969826,0.266576715497301,0.20993000016312,0.177561207511291,100,0.0,1,37,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
627,Bexar County,8.8811,Grassland,0.3,0.4564,0.0,0.310351478836649,0.564908256880734,0.114384075884927,0.353141522001582,0.363532110091743,0.285585585585586,0.20993000016312,0.062990254338008,100,0.0,1,37,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
628,Bexar County,1.1446,Grassland,0.3,0.3186,0.0,0.259509364122951,0.572026300059773,0.067804617901078,0.0,0.258816497310221,0.174596774193548,0.20993000016312,0.171143332541003,100,0.0,1,37,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
629,Bexar County,0.3111,Grassland,0.3,0.1794,0.1206,0.550261554035515,0.941838649155722,0.586714001640247,0.040408055113937,0.288930581613508,0.203166226912929,0.717833646424906,0.621820774898978,74,79.0,665,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
630,Bexar County,0.674,Grassland,0.3,0.1326,0.1674,0.577215963525201,0.979439252336449,0.492831160109687,0.084290234769031,0.391588785046729,0.321812596006144,0.717833646424906,0.725219871642501,62,79.0,859,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
631,Bexar County,0.3184,Grassland,0.3,0.1873,0.1127,0.554316967698847,0.904624277456647,0.113714766997796,0.0,0.38728323699422,0.316037735849057,0.551945059424823,0.647254575707155,75,79.0,648,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
632,Bexar County,0.3234,Grassland,0.3,0.2096,0.0904,0.645894581813394,0.975903614457831,0.658730731308467,0.0,0.495180722891566,0.490453460620525,0.551945059424823,0.568813881625862,77,79.0,603,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
633,Bexar County,0.2217,Grassland,0.3,0.1908,0.1092,0.712925711332407,1.0,0.847108143594816,0.0,0.592920353982301,0.728260869565217,0.551945059424823,0.639885904444973,70,79.0,745,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
